Time (-),FRC-01 [kN],FRC-02 [kN]
2022-11-04 08:41:01.657,244.6270625,243.897828125
2022-11-04 08:41:01.667,244.616921875,243.87753125
2022-11-04 08:41:01.677,244.5983125,243.897265625
2022-11-04 08:41:01.687,244.613546875,243.852140625
2022-11-04 08:41:01.697,244.644546875,243.8690625
2022-11-04 08:41:01.707,244.612984375,243.8746875
2022-11-04 08:41:01.717,244.617484375,243.87584375
2022-11-04 08:41:01.727,244.66653125,243.896671875
2022-11-04 08:41:01.737,244.622,243.869625
2022-11-04 08:41:01.747,244.616359375,243.860609375
2022-11-04 08:41:01.757,244.588734375,243.814390625
2022-11-04 08:41:01.767,244.6236875,243.860046875
2022-11-04 08:41:01.777,244.642296875,243.86625
2022-11-04 08:41:01.787,244.618609375,243.861734375
2022-11-04 08:41:01.797,244.6501875,243.856109375
2022-11-04 08:41:01.807,244.6501875,243.857796875
2022-11-04 08:41:01.817,244.643421875,243.8656875
2022-11-04 08:41:01.827,244.6259375,243.856671875
2022-11-04 08:41:01.837,244.63384375,243.840875
2022-11-04 08:41:01.847,244.671046875,243.88034375
2022-11-04 08:41:01.857,244.63553125,243.8679375
2022-11-04 08:41:01.867,244.602265625,243.849328125
2022-11-04 08:41:01.877,244.627625,243.87640625
2022-11-04 08:41:01.887,244.680640625,243.897265625
2022-11-04 08:41:01.897,244.646234375,243.889921875
2022-11-04 08:41:01.907,244.602828125,243.87528125
2022-11-04 08:41:01.917,244.603953125,243.8690625
2022-11-04 08:41:01.927,244.679515625,243.900078125
2022-11-04 08:41:01.937,244.6005625,243.8690625
2022-11-04 08:41:01.947,244.5971875,243.864
2022-11-04 08:41:01.957,244.6,243.87075
2022-11-04 08:41:01.967,244.671046875,243.87075
2022-11-04 08:41:01.977,244.656953125,243.862859375
2022-11-04 08:41:01.987,244.6293125,243.91753125
2022-11-04 08:41:01.997,244.576890625,243.87696875
2022-11-04 08:41:02.007,244.642859375,243.88203125
2022-11-04 08:41:02.017,244.6265,243.892171875
2022-11-04 08:41:02.027,244.616921875,243.8746875
2022-11-04 08:41:02.037,244.62875,243.88259375
2022-11-04 08:41:02.047,244.63215625,243.900640625
2022-11-04 08:41:02.057,244.653,243.8690625
2022-11-04 08:41:02.067,244.609578125,243.847078125
2022-11-04 08:41:02.077,244.6203125,243.888234375
2022-11-04 08:41:02.087,244.6214375,243.88090625
2022-11-04 08:41:02.097,244.613546875,243.855546875
2022-11-04 08:41:02.107,244.63890625,243.888234375
2022-11-04 08:41:02.117,244.603953125,243.858359375
2022-11-04 08:41:02.127,244.610140625,243.853296875
2022-11-04 08:41:02.137,244.63778125,243.855546875
2022-11-04 08:41:02.147,244.6214375,243.860046875
2022-11-04 08:41:02.157,244.671046875,243.8668125
2022-11-04 08:41:02.167,244.6501875,243.897828125
2022-11-04 08:41:02.177,244.65075,243.8685
2022-11-04 08:41:02.187,244.642296875,243.853296875
2022-11-04 08:41:02.197,244.611296875,243.887671875
2022-11-04 08:41:02.207,244.627625,243.8346875
2022-11-04 08:41:02.217,244.6236875,243.887109375
2022-11-04 08:41:02.227,244.618609375,243.897265625
2022-11-04 08:41:02.237,244.63890625,243.863421875
2022-11-04 08:41:02.247,244.614671875,243.896109375
2022-11-04 08:41:02.257,244.6225625,243.87753125
2022-11-04 08:41:02.267,244.62990625,243.853859375
2022-11-04 08:41:02.277,244.58534375,243.8301875
2022-11-04 08:41:02.287,244.63665625,243.855546875
2022-11-04 08:41:02.297,244.59325,243.8358125
2022-11-04 08:41:02.307,244.58703125,243.87978125
2022-11-04 08:41:02.317,244.63778125,243.874125
2022-11-04 08:41:02.327,244.603390625,243.8685
2022-11-04 08:41:02.337,244.616359375,243.88090625
2022-11-04 08:41:02.347,244.6293125,243.88259375
2022-11-04 08:41:02.357,244.645109375,243.897828125
2022-11-04 08:41:02.367,244.612984375,243.88090625
2022-11-04 08:41:02.377,244.63778125,243.833
2022-11-04 08:41:02.387,244.616359375,243.87978125
2022-11-04 08:41:02.397,244.63215625,243.886546875
2022-11-04 08:41:02.407,244.640046875,243.87584375
2022-11-04 08:41:02.417,244.6225625,243.896109375
2022-11-04 08:41:02.427,244.5938125,243.88034375
2022-11-04 08:41:02.437,244.639484375,243.890484375
2022-11-04 08:41:02.447,244.6225625,243.894984375
2022-11-04 08:41:02.457,244.618609375,243.861171875
2022-11-04 08:41:02.467,244.576328125,243.87865625
2022-11-04 08:41:02.477,244.63834375,243.856109375
2022-11-04 08:41:02.487,244.618609375,243.874125
2022-11-04 08:41:02.497,244.588734375,243.88371875
2022-11-04 08:41:02.507,244.622,243.907953125
2022-11-04 08:41:02.517,244.63665625,243.842578125
2022-11-04 08:41:02.527,244.649625,243.8685
2022-11-04 08:41:02.537,244.6225625,243.853859375
2022-11-04 08:41:02.547,244.63215625,243.858359375
2022-11-04 08:41:02.557,244.618046875,243.898953125
2022-11-04 08:41:02.567,244.6535625,243.8375
2022-11-04 08:41:02.577,244.615796875,243.8301875
2022-11-04 08:41:02.587,244.6214375,243.874125
2022-11-04 08:41:02.597,244.63496875,243.862296875
2022-11-04 08:41:02.607,244.5983125,243.88090625
2022-11-04 08:41:02.617,244.645109375,243.889359375
2022-11-04 08:41:02.627,244.58646875,243.83975
2022-11-04 08:41:02.637,244.63440625,243.842015625
2022-11-04 08:41:02.647,244.6248125,243.865125
2022-11-04 08:41:02.657,244.6248125,243.897828125
2022-11-04 08:41:02.667,244.6203125,243.851578125
2022-11-04 08:41:02.677,244.66090625,243.890484375
2022-11-04 08:41:02.687,244.640609375,243.873
2022-11-04 08:41:02.697,244.601703125,243.864
2022-11-04 08:41:02.707,244.614109375,243.864
2022-11-04 08:41:02.717,244.66540625,243.836375
2022-11-04 08:41:02.727,244.616921875,243.892734375
2022-11-04 08:41:02.737,244.588171875,243.892734375
2022-11-04 08:41:02.747,244.62875,243.871875
2022-11-04 08:41:02.757,244.6259375,243.846515625
2022-11-04 08:41:02.767,244.642859375,243.867375
2022-11-04 08:41:02.777,244.640609375,243.82790625
2022-11-04 08:41:02.787,244.646796875,243.861734375
2022-11-04 08:41:02.797,244.618046875,243.88259375
2022-11-04 08:41:02.807,244.648484375,243.8746875
2022-11-04 08:41:02.817,244.63103125,243.869625
2022-11-04 08:41:02.827,244.614671875,243.869625
2022-11-04 08:41:02.837,244.657515625,243.869625
2022-11-04 08:41:02.847,244.63609375,243.90853125
2022-11-04 08:41:02.857,244.5949375,243.901203125
2022-11-04 08:41:02.867,244.601703125,243.88315625
2022-11-04 08:41:02.877,244.66371875,243.897265625
2022-11-04 08:41:02.887,244.615796875,243.88259375
2022-11-04 08:41:02.897,244.63496875,243.892171875
2022-11-04 08:41:02.907,244.614109375,243.88259375
2022-11-04 08:41:02.917,244.611859375,243.897828125
2022-11-04 08:41:02.927,244.655265625,243.847640625
2022-11-04 08:41:02.937,244.6265,243.855546875
2022-11-04 08:41:02.947,244.581390625,243.855546875
2022-11-04 08:41:02.957,244.63609375,243.861734375
2022-11-04 08:41:02.967,244.642859375,243.87865625
2022-11-04 08:41:02.977,244.610140625,243.8746875
2022-11-04 08:41:02.987,244.598875,243.838625
2022-11-04 08:41:02.997,244.604515625,243.852734375
2022-11-04 08:41:03.007,244.608453125,243.895546875
2022-11-04 08:41:03.017,244.627625,243.845953125
2022-11-04 08:41:03.027,244.611859375,243.893859375
2022-11-04 08:41:03.037,244.609578125,243.867375
2022-11-04 08:41:03.047,244.6281875,243.890484375
2022-11-04 08:41:03.057,244.63328125,243.8746875
2022-11-04 08:41:03.067,244.602265625,243.88203125
2022-11-04 08:41:03.077,244.646796875,243.873
2022-11-04 08:41:03.087,244.6501875,243.900640625
2022-11-04 08:41:03.097,244.622,243.857234375
2022-11-04 08:41:03.107,244.63215625,243.848765625
2022-11-04 08:41:03.117,244.643984375,243.87696875
2022-11-04 08:41:03.127,244.684015625,243.854421875
2022-11-04 08:41:03.137,244.651875,243.8735625
2022-11-04 08:41:03.147,244.62425,243.856109375
2022-11-04 08:41:03.157,244.668234375,243.865125
2022-11-04 08:41:03.167,244.6265,243.863421875
2022-11-04 08:41:03.177,244.640609375,243.861171875
2022-11-04 08:41:03.187,244.625375,243.844265625
2022-11-04 08:41:03.197,244.686828125,243.858359375
2022-11-04 08:41:03.207,244.615234375,243.8701875
2022-11-04 08:41:03.217,244.69134375,243.862296875
2022-11-04 08:41:03.227,244.601140625,243.848203125
2022-11-04 08:41:03.237,244.66484375,243.8746875
2022-11-04 08:41:03.247,244.672734375,243.87978125
2022-11-04 08:41:03.257,244.642859375,243.88203125
2022-11-04 08:41:03.267,244.66090625,243.88090625
2022-11-04 08:41:03.277,244.643984375,243.844828125
2022-11-04 08:41:03.287,244.6265,243.855546875
2022-11-04 08:41:03.297,244.618046875,243.857234375
2022-11-04 08:41:03.307,244.615796875,243.8369375
2022-11-04 08:41:03.317,244.645109375,243.894984375
2022-11-04 08:41:03.327,244.6501875,243.896109375
2022-11-04 08:41:03.337,244.653,243.862296875
2022-11-04 08:41:03.347,244.640609375,243.849328125
2022-11-04 08:41:03.357,244.63609375,243.87696875
2022-11-04 08:41:03.367,244.6214375,243.88259375
2022-11-04 08:41:03.377,244.646234375,243.88090625
2022-11-04 08:41:03.387,244.59775,243.854421875
2022-11-04 08:41:03.397,244.6270625,243.853859375
2022-11-04 08:41:03.407,244.654703125,243.892171875
2022-11-04 08:41:03.417,244.65921875,243.8746875
2022-11-04 08:41:03.427,244.5994375,243.864
2022-11-04 08:41:03.437,244.63328125,243.889921875
2022-11-04 08:41:03.447,244.5960625,243.91809375
2022-11-04 08:41:03.457,244.613546875,243.890484375
2022-11-04 08:41:03.467,244.62425,243.82621875
2022-11-04 08:41:03.477,244.63496875,243.861171875
2022-11-04 08:41:03.487,244.639484375,243.845953125
2022-11-04 08:41:03.497,244.63440625,243.841453125
2022-11-04 08:41:03.507,244.609578125,243.88484375
2022-11-04 08:41:03.517,244.63215625,243.873
2022-11-04 08:41:03.527,244.6214375,243.885984375
2022-11-04 08:41:03.537,244.683453125,243.91584375
2022-11-04 08:41:03.547,244.606203125,243.891046875
2022-11-04 08:41:03.557,244.63721875,243.867375
2022-11-04 08:41:03.567,244.625375,243.842015625
2022-11-04 08:41:03.577,244.6214375,243.860609375
2022-11-04 08:41:03.587,244.605078125,243.847078125
2022-11-04 08:41:03.597,244.646796875,243.861171875
2022-11-04 08:41:03.607,244.6270625,243.8391875
2022-11-04 08:41:03.617,244.62425,243.864
2022-11-04 08:41:03.627,244.63496875,243.874125
2022-11-04 08:41:03.637,244.610140625,243.902890625
2022-11-04 08:41:03.647,244.622,243.90965625
2022-11-04 08:41:03.657,244.576328125,243.87528125
2022-11-04 08:41:03.667,244.611296875,243.8690625
2022-11-04 08:41:03.677,244.623125,243.889359375
2022-11-04 08:41:03.687,244.65921875,243.87921875
2022-11-04 08:41:03.697,244.5955,243.907953125
2022-11-04 08:41:03.707,244.5949375,243.848765625
2022-11-04 08:41:03.717,244.639484375,243.849328125
2022-11-04 08:41:03.727,244.642296875,243.889921875
2022-11-04 08:41:03.737,244.6293125,243.8701875
2022-11-04 08:41:03.747,244.598875,243.890484375
2022-11-04 08:41:03.757,244.6281875,243.892734375
2022-11-04 08:41:03.767,244.651875,243.8735625
2022-11-04 08:41:03.777,244.646234375,243.8679375
2022-11-04 08:41:03.787,244.646796875,243.88090625
2022-11-04 08:41:03.797,244.62990625,243.8324375
2022-11-04 08:41:03.807,244.627625,243.82284375
2022-11-04 08:41:03.817,244.6535625,243.8746875
2022-11-04 08:41:03.827,244.63271875,243.847640625
2022-11-04 08:41:03.837,244.640609375,243.8358125
2022-11-04 08:41:03.847,244.6203125,243.865125
2022-11-04 08:41:03.857,244.646234375,243.858921875
2022-11-04 08:41:03.867,244.609578125,243.8679375
2022-11-04 08:41:03.877,244.63665625,243.864
2022-11-04 08:41:03.887,244.63440625,243.856109375
2022-11-04 08:41:03.897,244.618609375,243.8701875
2022-11-04 08:41:03.907,244.6265,243.88203125
2022-11-04 08:41:03.917,244.607328125,243.887109375
2022-11-04 08:41:03.927,244.646234375,243.88371875
2022-11-04 08:41:03.937,244.588734375,243.8645625
2022-11-04 08:41:03.947,244.592125,243.8724375
2022-11-04 08:41:03.957,244.66371875,243.88484375
2022-11-04 08:41:03.967,244.644546875,243.87753125
2022-11-04 08:41:03.977,244.63440625,243.88315625
2022-11-04 08:41:03.987,244.63496875,243.88315625
2022-11-04 08:41:03.997,244.654140625,243.8690625
2022-11-04 08:41:04.007,244.63834375,243.858921875
2022-11-04 08:41:04.017,244.605078125,243.91078125
